gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	projectTitle	projectID	fundingAttribution	fundingAttributionID	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1660908055					19/05/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006861	006861		R.G. Spurr																																																																	Argentina		Río Negro	Pilcaniyeu		Lago Los Juncos, Est. Perito Moreno 900m																																																								11/11/84												Chloephaga picta								Animalia	Chordata	Aves	Anseriformes		Anatidae				Chloephaga				picta			N/A							
1660908054					09/07/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006869	006869		Miguel I. Christie																																																																	Argentina		Río Negro	General Roca		Villa Regina Ruta Nac.22																																																								4/21/80												Pardirallus sanguinolentus								Animalia	Chordata	Aves	Gruiformes		Rallidae				Pardirallus				sanguinolentus			N/A							
1660908053					23/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006850	006850		R. Spurr																																																																	Argentina		Río Negro	Bariloche		Lago Nahuel Huapi																																																								3/20/84												Milvago chimango								Animalia	Chordata	Aves	Falconiformes		Falconidae				Milvago				chimango			N/A							
1660908052					30/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006863	006863		Marcelo D. Bettinelli																																																																	Argentina		Neuquén	Los Lagos		PN Nahuel Huapi																																																								2/18/88												Callipepla californica								Animalia	Chordata	Aves	Galliformes		Phasianidae				Callipepla				californica			N/A							
1660908051					16/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006825	006825		Federico Contino																																																																	Argentina		Jujuy	Valle grande		Santa Bárbara El Fuerte																																																								1/1/58												Penelope obscura								Animalia	Chordata	Aves	Galliformes		Cracidae				Penelope				obscura			N/A							
1660908050					19/05/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006860	006860		Miguel I. Christie																																																																	Argentina		Neuquén	Huiliches		Arroyo Llamue, 850m, 4,5km. E. 1,5km al N. Cerro Capaollanoz																																																								3/21/82												Merganetta armata								Animalia	Chordata	Aves	Anseriformes		Anatidae				Merganetta				armata			N/A							
1660908049					24/07/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006832	006832		J. Paez																																																																	Argentina		Mendoza	Tupungato		Zapata																																																								7/23/82												Eudromia elegans								Animalia	Chordata	Aves	Tinamiformes		Tinamidae				Eudromia				elegans			N/A							
1660908048					12/05/2016								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006875	006875		Marcelo D. Bettinelli																																																																	Argentina		Río Negro	Bariloche		Bariloche																																																								11/16/83												Troglodytes aedon								Animalia	Chordata	Aves	Passeriformes		Troglodytidae				Troglodytes				aedon			N/A							
1660908047					21/04/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006828	006828		Federico Contino																																																																	Argentina		Jujuy	Ledesma		Yuto																																																								1/1/58												Accipiter bicolor								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Accipiter				bicolor			N/A							
1660908046					21/04/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006856	006856		Miguel I. Christie																																																																	Argentina		Río Negro	Bariloche		S.C. Bariloche, Ciudad, 800m																																																								5/5/83												Accipiter bicolor								Animalia	Chordata	Aves	Accipitriformes		Accipitridae				Accipiter				bicolor			N/A							
1660908045					17/06/2015								IADIZA	COI			PreservedSpecimen				IADIZA:COI:006865	006865		Miguel I. Christie																																																																	Argentina		Río Negro	Pilcaniyeu		Puente R. Pichileufú																																																								1/24/88												Falco sparverius								Animalia	Chordata	Aves	Falconiformes		Falconidae				Falco				sparverius			N/A							
